"","year","X.disaster","delta.temp","NOAA0$year^2","NOAA0$delta.temp^2","NOAA0$year * NOAA0$delta.temp"
"1",0,3,0.27,0,0.0729,0
"2",0.1,1,0.33,0.01,0.1089,0.033
"3",0.2,3,0.13,0.04,0.0169,0.026
"4",0.3,5,0.3,0.09,0.09,0.09
"5",0.4,2,0.16,0.16,0.0256,0.064
"6",0.5,5,0.12,0.25,0.0144,0.06
"7",0.6,2,0.19,0.36,0.0361,0.114
"8",0.7,0,0.33,0.49,0.1089,0.231
"9",0.8,1,0.41,0.64,0.1681,0.328
"10",0.9,5,0.29,0.81,0.0841,0.261
"11",1,3,0.44,1,0.1936,0.44
"12",1.1,4,0.43,1.21,0.1849,0.473
"13",1.2,6,0.23,1.44,0.0529,0.276
"14",1.3,4,0.24,1.69,0.0576,0.312
"15",1.4,6,0.32,1.96,0.1024,0.448
"16",1.5,4,0.45,2.25,0.2025,0.675
"17",1.6,4,0.35,2.56,0.1225,0.56
"18",1.7,3,0.48,2.89,0.2304,0.816
"19",1.8,9,0.63,3.24,0.3969,1.134
"20",1.9,5,0.42,3.61,0.1764,0.798
"21",2,2,0.42,4,0.1764,0.84
"22",2.1,2,0.54,4.41,0.2916,1.134
"23",2.2,4,0.63,4.84,0.3969,1.386
"24",2.3,7,0.62,5.29,0.3844,1.426
"25",2.4,5,0.55,5.76,0.3025,1.32
"26",2.5,5,0.69,6.25,0.4761,1.725
"27",2.6,6,0.64,6.76,0.4096,1.664
"28",2.7,5,0.66,7.29,0.4356,1.782
"29",2.8,11,0.54,7.84,0.2916,1.512
"30",2.9,7,0.65,8.41,0.4225,1.885
"31",3,5,0.73,9,0.5329,2.19
"32",3.1,16,0.61,9.61,0.3721,1.891
"33",3.2,11,0.64,10.24,0.4096,2.048
"34",3.3,9,0.66,10.89,0.4356,2.178
"35",3.4,8,0.75,11.56,0.5625,2.55
"36",3.5,10,0.9,12.25,0.81,3.15
"37",3.6,15,1.02,12.96,1.0404,3.672
"38",3.7,16,0.93,13.69,0.8649,3.441
"39",3.8,14,0.85,14.44,0.7225,3.23
"40",3.9,14,0.99,15.21,0.9801,3.861
"41",4,22,1.02,16,1.0404,4.08
